Symptoms,Score
NADVD,0
AUVD,1
HSVD,1
LAVD,1
GTVD,1
FTVD,1
MPVD,1
TPKVD,1
ILVD,1
FVD,1
CVD,2
OLPVD,2
OLVD,2
FKVD,2
SPVD,2
BMSVD,2
FEPVD,2
AUB,2
HSB,2
LAB,2
GTB,2
FTB,2
MNPB,2
TPKB,2
ILB,2
FB,2
AUSD,2
HSSD,2
LASD,2
GTSD,2
FTSD,2
MNPSD,2
TPKSD,2
ILSD,2

SLVD,3
TUVD,3
VLVD,3
OSMFVD,3
SLB,4
TUB,4
VLB,4
OSMFB,4
SLSD,4
TUSD,4
VLSD,4
OSMFSD,4
SPVD,5
OSCCVD,5
VCVD,5
CISVD,5
SPB,5
OSCCB,5
VCB,5
CISB,5
SPSD,5
OSCCSD,5
VCSD,5
CISSD,5
NADSD,1
FB,2
CB,2
OLPB,2
OLB,2
FKB,2
SPB,2
BMSB,2
FEPB,2
FSD,3
CSD,3
OLPSD,3
OLSD,3
FKSD,3
SPSD,3
BMSSD,3
FEPSD ,3
NADB,1
SDVD,3
SDB,4
SDSD,4
